,food_type,temperature,hours_already_spent,risk
0,Dry vegetable dishes,cool temperature(approx. 18 C),7.98,medium
1,Dal/lentils,cool temperature(approx. 18 C),1.29,medium
2,Sweets,room temperature(more than 25 C),10.76,very high
3,Non-veg curries,room temperature(more than 25 C),8.44,very high
4,Dry vegetable dishes,refrigerated temperature,7.22,low
5,Fresh breads,cool temperature(approx. 18 C),6.47,medium
6,Cooked rice dish,refrigerated temperature,0.0,low
7,Sweets,refrigerated temperature,1.58,low
8,Dal/lentils,room temperature(more than 25 C),7.46,very high
9,Gravy-based veg curries,room temperature(more than 25 C),5.14,very high
10,Fresh breads,room temperature(more than 25 C),10.97,very high
11,Cooked rice dish,refrigerated temperature,1.81,low
12,Gravy-based veg curries,cool temperature(approx. 18 C),1.07,medium
13,Cooked rice dish,refrigerated temperature,9.51,low
14,Fresh breads,cool temperature(approx. 18 C),8.82,high
15,Cooked rice dish,refrigerated temperature,3.6,low
16,Dry vegetable dishes,refrigerated temperature,10.75,low
17,Sweets,refrigerated temperature,11.22,low
18,Dairy-based curries,refrigerated temperature,11.58,low
19,Dal/lentils,refrigerated temperature,1.5,low
20,Gravy-based veg curries,refrigerated temperature,7.25,low
21,Dry vegetable dishes,room temperature(more than 25 C),1.52,medium
22,Dry vegetable dishes,cool temperature(approx. 18 C),11.17,very high
23,Dal/lentils,room temperature(more than 25 C),1.49,high
24,Non-veg curries,room temperature(more than 25 C),7.09,very high
25,Gravy-based veg curries,room temperature(more than 25 C),8.72,very high
26,Dairy-based curries,cool temperature(approx. 18 C),5.52,very high
27,Gravy-based veg curries,cool temperature(approx. 18 C),9.67,very high
28,Dal/lentils,refrigerated temperature,7.47,low
29,Fried items,refrigerated temperature,5.29,low
30,Fresh breads,cool temperature(approx. 18 C),0.59,low
31,Gravy-based veg curries,refrigerated temperature,6.93,low
32,Dal/lentils,cool temperature(approx. 18 C),4.27,high
33,Fresh breads,room temperature(more than 25 C),6.89,very high
34,Dal/lentils,cool temperature(approx. 18 C),11.62,very high
35,Fresh breads,cool temperature(approx. 18 C),8.62,high
36,Fried items,room temperature(more than 25 C),3.21,medium
37,Gravy-based veg curries,room temperature(more than 25 C),3.47,very high
38,Fresh breads,cool temperature(approx. 18 C),9.34,high
39,Cooked rice dish,cool temperature(approx. 18 C),1.66,high
